id,split,mean_B4,mean_B3,mean_B2,centroid_dist_to_river_m,centroid_dist_to_river_m,encroachment
0,test,0.0,0.0,0.0,2.823244287538998,2.823244287538998,1
1,test,1750.0,1509.0,1267.0,17.36663759176729,17.36663759176729,1
2,train,1648.0,1444.0,1251.3333740234375,23.39855200462878,23.39855200462878,1
3,train,1656.0,1326.0,1152.0,27.666521901207844,27.666521901207844,1
4,train,1717.6666259765625,1470.0,1270.3333740234375,14.143960778668285,14.143960778668285,1
5,test,1808.0,1517.5999755859375,1297.5999755859375,2.5337635335491204,2.5337635335491204,1
6,train,0.0,0.0,0.0,29.90151094563347,29.90151094563347,1
7,train,1546.0,1392.0,1225.0,28.92103136470285,28.92103136470285,1
8,train,1464.9090576171875,1268.1817626953125,1058.0909423828125,55.2605957291411,55.2605957291411,0
9,train,1032.0,830.0,697.0,79.59817177169094,79.59817177169094,0
10,train,1590.0,1334.0,1134.0,6.171249248010579,6.171249248010579,1
11,test,0.0,0.0,0.0,4.6241489111649265,4.6241489111649265,1
12,train,1502.0,1268.0,1106.0,13.411323511937356,13.411323511937356,1
13,train,0.0,0.0,0.0,25.89770812361397,25.89770812361397,1
14,train,1250.0,1058.0,884.0,14.637811341769051,14.637811341769051,1
15,test,1328.0,1088.0,922.0,21.044911329721927,21.044911329721927,1
16,train,0.0,0.0,0.0,23.45479043542274,23.45479043542274,1
17,train,0.0,0.0,0.0,34.331064427760325,34.331064427760325,1
18,train,1258.0,1040.0,849.5,34.860193851186416,34.860193851186416,1
19,train,1207.5,994.5,830.25,40.80247529682298,40.80247529682298,1
20,train,0.0,0.0,0.0,29.956228800178277,29.956228800178277,1
21,test,1393.0,1249.0,1070.0,46.677908350842245,46.677908350842245,0
22,train,0.0,0.0,0.0,38.58007956926173,38.58007956926173,1
23,train,1120.0,1016.0,814.0,40.38132420080964,40.38132420080964,0
24,train,1430.0,1150.0,986.0,75.87857893878223,75.87857893878223,0
