B11,B12,B2,B3,B4,B8,NDBI,NDVI,builtup,lon,lat
3073.5,2043.5,721.5,1017.0,1080.5,2893.0,0.0302522424608469,0.4561469852924347,0,36.73898407957075,-1.3265870958235033
2105.0,1295.5,440.5,716.5,581.0,2891.0,-0.1573258638381958,0.6653226017951965,0,36.72892294838861,-1.2964935338054995
2507.0,1425.0,546.0,887.5,729.5,3354.0,-0.14451459050178528,0.6427084803581238,0,36.7258686764226,-1.3184124267380157
1740.5,1375.0,476.0,725.0,649.0,2518.0,-0.1825760304927826,0.590148389339447,0,36.74742824324147,-1.3355702486646985
1572.5,1020.5,350.0,496.5,463.0,2161.0,-0.1576268970966339,0.6471036672592163,0,36.747248580184646,-1.33655839547723
2373.0,1473.0,501.0,726.0,768.0,2188.0,0.04056128114461899,0.4803788959980011,0,36.746080770315295,-1.3278447372212707
1073.0,508.0,259.0,360.0,277.0,2232.0,-0.35068079829216003,0.7791948914527893,0,36.71922114332012,-1.304668202890987
1480.0,721.0,277.0,418.0,296.0,2282.0,-0.21318447589874268,0.7703646421432495,0,36.747518074769886,-1.3208378780051384
944.0,477.0,225.0,298.0,224.0,1898.0,-0.3356791138648987,0.7888784408569336,0,36.7310789050705,-1.3156276493572452
2549.0,1624.0,490.5,749.0,852.0,2406.0,0.028859738260507584,0.47697973251342773,0,36.72164659458724,-1.323622655385909
2470.5,2113.5,1038.0,1125.0,1054.0,1864.0,0.13992387056350708,0.2775873839855194,0,36.746260433372115,-1.3331447973975759
1269.0,755.0,241.0,342.0,308.0,1666.0,-0.135264053940773,0.6879432797431946,0,36.74329599293452,-1.3061055073455783
1753.0,1270.0,417.0,594.0,560.0,2457.0,-0.16722090542316437,0.6287702918052673,0,36.72892294838861,-1.3041292137205154
1433.0,633.0,258.0,393.0,259.0,2990.0,-0.35202351212501526,0.8405663371086121,0,36.720299121661064,-1.308441127084289
1523.5,707.0,285.0,445.5,287.5,2879.0,-0.3078932464122772,0.8184114694595337,0,36.748146895468764,-1.3158971439424811
1530.0,879.0,332.0,406.0,406.0,1560.0,-0.009708737954497337,0.5869786143302917,0,36.75236897730413,-1.3109564098798236
1954.0,1017.0,438.0,702.0,582.0,2702.0,-0.16065292060375214,0.6455541849136353,0,36.74527228655958,-1.3296413677895098
1820.0,931.0,271.0,571.0,333.0,3116.0,-0.26256078481674194,0.8069005608558655,0,36.73610947066157,-1.3002664579988015
1791.0,797.0,271.0,476.0,284.0,3038.0,-0.258231520652771,0.8290186524391174,0,36.765843706565924,-1.317963269095956
2535.5,1501.5,527.0,747.5,774.0,2199.0,0.07107403129339218,0.47931382060050964,0,36.76503522281021,-1.325419285954148
869.0,401.0,222.0,340.0,228.0,1980.0,-0.3899613916873932,0.79347825050354,0,36.7408705416674,-1.3200293942494308
1408.0,788.0,266.5,397.0,326.0,2320.5,-0.24473649263381958,0.75363689661026,0,36.754165607872366,-1.291552799742842
1834.0,1171.0,498.0,678.0,720.0,2092.0,-0.0657157376408577,0.4879089593887329,0,36.740780710138985,-1.3373668792329376
2319.0,1442.0,630.0,940.0,954.0,2750.0,-0.08502662926912308,0.4848812222480774,0,36.754614765514425,-1.325419285954148
2981.0,2413.0,542.0,842.0,1310.0,2066.0,0.18129581212997437,0.2239336520433426,0,36.73395351397968,-1.2951460608793202
865.5,377.5,236.0,321.0,228.0,2094.0,-0.4151039123535156,0.8036175966262817,0,36.73305519869556,-1.3158971439424811
1605.0,736.5,298.0,455.0,315.0,3182.0,-0.3294338881969452,0.8198455572128296,0,36.721377100002,-1.3083512955558771
1989.5,1292.0,524.5,800.5,664.0,2759.0,-0.16205117106437683,0.6120362281799316,0,36.74715874865623,-1.3282040633349186
2485.5,1454.5,372.0,694.0,509.5,3520.0,-0.17225876450538635,0.7471150159835815,0,36.74590110725847,-1.3135615242037704
1571.0,741.0,300.0,509.0,294.0,2980.0,-0.309602290391922,0.8204031586647034,0,36.74679942254259,-1.325239622897324
1042.5,444.0,229.5,327.5,246.5,2549.0,-0.4194626212120056,0.8236451148986816,0,36.72541951878054,-1.3112259044650596
2839.0,1836.0,572.0,849.0,918.0,2856.0,-0.0029850746504962444,0.5135135054588318,0,36.73000092672955,-1.297481680618031
